"slug","id","activo","curul","video_url","partido","partido_id","partidoP","provincia","provincia_id","tipo","nombre","nombre1","nombre2","genero","comision","twitter","video_texto","urlImagen","urlDetalle","csvDetalle"
"jose-francisco-asan-wonsang",279,0,72,"","Partido Social Cristiano-Madera de Guerrero",27,"Partido Social Cristiano","Guayas",6,"Provincial","José Francisco Asán Wonsang","José Francisco","Asán Wonsang","Masculino","Gobiernos Autónomos, Descentralización, Competencias y Organización Territorial","@pacoasan","","/media/fotos_asambleistas/asan.png","/composicion/asambleistas/jose-francisco-asan-wonsang/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/jose-francisco-asan-wonsang?formato=csv"
"esteban-remigio-bernal-bernal",281,0,74,"gFh_2Xkw114","CREO- PARTICIPA",35,"CREO","Azuay",10,"Provincial","Esteban Remigio Bernal Bernal","Esteban Remigio","Bernal Bernal","Masculino","Biodiversidad y Recursos Naturales","@EstebanBernalB","¿Qué es un juicio político?","/media/fotos_asambleistas/bernal_soS72Xo.png","/composicion/asambleistas/esteban-remigio-bernal-bernal/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/esteban-remigio-bernal-bernal?formato=csv"
"eliseo-alexis-azuero-rodas",284,0,77,"","Independiente",12,"Independiente","Sucumbíos",22,"Provincial","Eliseo Alexis Azuero Rodas","Eliseo Alexis","Azuero Rodas","Masculino","&nbsp;","@EliseoAzueroR","","/media/fotos_asambleistas/azuero.png","/composicion/asambleistas/eliseo-alexis-azuero-rodas/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/eliseo-alexis-azuero-rodas?formato=csv"
"pedro-carlos-falquez-batallas",286,0,79,"","Partido Social Cristiano",3,"Partido Social Cristiano","El Oro",8,"Provincial","Pedro Carlos Falquez Batallas","Pedro Carlos","Falquez Batallas","Masculino","Soberanía Alimentaria y Desarrollo del Sector Agropecuario y Pesquero","@CarlosFalquezB","","/media/fotos_asambleistas/falquez.png","/composicion/asambleistas/pedro-carlos-falquez-batallas/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/pedro-carlos-falquez-batallas?formato=csv"
"mayra-migdonia-montano-guisamano",312,0,100,"","Partido Social Cristiano-Madera de Guerrero",27,"Partido Social Cristiano","Guayas",6,"Provincial","Mayra Migdonia Montaño Guisamano","Mayra Migdonia","Montaño Guisamano","Femenino","Participación Ciudadana y Control Social
Comisión Ocasional para Atender los Casos de Personas Desaparecidas","@MontanoMayra","","/media/fotos_asambleistas/monta%C3%B1o_Urntz17.png","/composicion/asambleistas/mayra-migdonia-montano-guisamano/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/mayra-migdonia-montano-guisamano?formato=csv"
"ana-mercedes-galarza-anazco",306,0,103,"","CREO",33,"CREO","Tungurahua",18,"Provincial","Ana Mercedes Galarza Añazco","Ana Mercedes","Galarza Añazco","Femenino","Derecho a la Salud","@AniMeGalarza","","/media/fotos_asambleistas/galarza_9M03mWz.png","/composicion/asambleistas/ana-mercedes-galarza-anazco/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/ana-mercedes-galarza-anazco?formato=csv"
"vicente-giovanny-taiano-basante",298,0,111,"","Partido Social Cristiano-Madera de Guerrero",27,"Partido Social Cristiano","Guayas",6,"Provincial","Vicente Giovanny Taiano Basante","Vicente Giovanny","Taiano Basante","Masculino","Derechos de los Trabajadores y la Seguridad Social","@VicenteTaianoEC","","/media/fotos_asambleistas/taiano.png","/composicion/asambleistas/vicente-giovanny-taiano-basante/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/vicente-giovanny-taiano-basante?formato=csv"
"luis-fernando-torres-torres",296,0,113,"","Movimiento PSC-Cambio",15,"Movimiento PSC","Tungurahua",18,"Provincial","Luis Fernando Torres Torres","Luis Fernando","Torres Torres","Masculino","Justicia y Estructura del Estado","@lftorrest","","/media/fotos_asambleistas/torres.png","/composicion/asambleistas/luis-fernando-torres-torres/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/luis-fernando-torres-torres?formato=csv"
"joffre-patricio-mendoza-palma",275,0,115,"","Independiente",12,"Independiente","Los Ríos",9,"Provincial","Joffre Patricio Mendoza Palma","Joffre Patricio","Mendoza Palma","Masculino","Soberanía Alimentaria y Desarrollo del Sector Agropecuario y Pesquero","@Elcholo_mendoza","","/media/fotos_asambleistas/mendoza_Xqrtgkt.png","/composicion/asambleistas/joffre-patricio-mendoza-palma/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/joffre-patricio-mendoza-palma?formato=csv"
"romulo-marcelo-minchala-murillo",274,0,116,"","CREO",33,"CREO","Guayas",6,"Provincial","Rómulo Marcelo Minchala Murillo","Rómulo Marcelo","Minchala Murillo","Masculino","Educación, Cultura y Ciencia y Tecnología","@rminchalam","","/media/fotos_asambleistas/minchala_fpZgLq1.png","/composicion/asambleistas/romulo-marcelo-minchala-murillo/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/romulo-marcelo-minchala-murillo?formato=csv"
"blanca-rosana-ugarte-guzman",248,0,127,"","Independiente",12,"Independiente","Guayas",6,"Provincial","Blanca Rosana Ugarte Guzmán","Blanca Rosana","Ugarte Guzmán","Femenino","Derecho a la Salud","@PolyUgarteG","","/media/fotos_asambleistas/ugarte_aKl1m9A.png","/composicion/asambleistas/blanca-rosana-ugarte-guzman/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/blanca-rosana-ugarte-guzman?formato=csv"
"paola-vintimilla-moscoso",247,0,128,"","Partido Social Cristiano",3,"Partido Social Cristiano","Nacional",25,"Nacional","Paola Vintimilla Moscoso","Paola","Vintimilla Moscoso","Femenino","Soberanía, Integración, Relaciones Internacionales y Seguridad Integral","@PaolaVintimilla","","/media/fotos_asambleistas/vintimilla.png","/composicion/asambleistas/paola-vintimilla-moscoso/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/paola-vintimilla-moscoso?formato=csv"
"maria-roberta-zambrano-ortiz",246,0,129,"","Partido Social Cristiano",3,"Partido Social Cristiano","Esmeraldas",4,"Provincial","María Roberta Zambrano Ortíz","María Roberta","Zambrano Ortíz","Femenino","Soberanía Alimentaria y Desarrollo del Sector Agropecuario y Pesquero","@RobertaZambran6","","/media/fotos_asambleistas/zambrano.png","/composicion/asambleistas/maria-roberta-zambrano-ortiz/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/maria-roberta-zambrano-ortiz?formato=csv"
